birdName,dateTime,island,txFromDuskyId,txChannel,txDateOn,txDateOff
Motupohue,2023-02-26 15:10:00,Whenua Hou,2933,81,2022-11-04 16:15:00,2023-02-26 15:10:00
Phantom,2023-02-22 14:30:00,Whenua Hou,2860,4,2022-10-09 11:30:00,2023-02-22 14:30:00
Scratch,2023-02-18 16:13:00,Pearl,3058,3,2021-11-10 10:48:00,2023-02-18 16:13:00
Scotty,2023-02-18 13:35:00,Pearl,3020,59,2021-11-11 10:50:00,2023-02-18 13:35:00
Mackenzie,2023-02-18 12:17:00,Pearl,3143,92,2021-11-10 16:15:00,2023-02-18 12:17:00
Tautahi,2023-02-18 12:00:00,Pearl,2987,24,2021-07-11 11:20:00,2023-02-18 12:00:00
Orion,2023-02-18 10:40:00,Pearl,2977,14,2021-07-11 11:26:00,2023-02-18 10:40:00
Kohitatea,2023-02-18 10:00:00,Pearl,2993,30,2021-07-08 13:50:00,2023-02-18 10:00:00
Wolf,2023-02-18 09:38:00,Pearl,3102,49,2021-11-11 17:17:00,2023-02-18 09:38:00
Elliott,2023-02-17 14:55:00,Pearl,3098,45,2021-11-12 13:20:00,2023-02-17 14:55:00
Sage,2023-02-17 13:30:00,Pearl,3140,89,2021-11-11 13:38:00,2023-02-17 13:30:00
Hikoi,2023-02-17 11:26:00,Pearl,2967,4,2021-07-13 12:57:00,2023-02-17 11:26:00
Chicory,2023-02-17 10:33:00,Pearl,3035,74,2021-11-14 09:50:00,2023-02-17 10:33:00
Mahutonga,2023-02-16 15:49:00,Pearl,2995,32,2021-07-11 11:55:00,2023-02-16 15:49:00
Bravo,2023-02-16 14:04:00,Pearl,3008,47,2021-09-16 12:47:00,2023-02-16 14:04:00
Bunker,2023-02-16 13:30:00,Pearl,3015,54,2021-09-16 12:20:00,2023-02-16 13:30:00
Manawanui,2023-02-16 12:22:00,Pearl,3025,64,2021-11-14 12:35:00,2023-02-16 12:22:00
Marangai,2023-02-16 11:10:00,Pearl,2975,12,2021-07-04 12:35:00,2023-02-16 11:10:00
Kewa,2023-02-16 11:09:00,Pearl,3044,87,2021-07-24 14:45:00,2023-02-16 11:09:00
Tomua,2023-02-16 10:22:00,Pearl,2999,36,2022-03-24 22:27:00,2023-02-16 10:22:00
Ave,2023-01-28 14:10:00,Anchor,2778,21,2022-05-21 14:49:00,2023-01-28 14:10:00
Uenuku,2023-01-28 11:20:00,Anchor,2810,53,2022-05-11 14:13:00,2023-01-28 11:20:00
Wai,2023-01-26 10:20:00,Anchor,2908,55,2022-06-11 15:06:00,2023-01-26 10:20:00
Paritu,2023-01-24 14:30:00,Anchor,2824,67,2022-05-16 13:02:00,2023-01-24 14:30:00
Olive,2023-01-24 11:20:00,Anchor,2828,71,2022-08-12 15:00:00,2023-01-24 11:20:00
Luna,2023-01-24 10:30:00,Anchor,2780,23,2022-05-07 10:32:00,2023-01-24 10:30:00
Egilsay,2023-01-23 21:32:00,Invercargill,0,0,2022-12-01 11:40:00,2023-01-23 21:32:00
Morehu,2023-01-23 21:20:00,Invercargill,0,0,2022-12-01 20:00:00,2023-01-23 21:20:00
Awhina,2023-01-23 12:40:00,Anchor,2868,13,2022-10-03 12:50:00,2023-01-23 12:40:00
Moana,2023-01-21 16:10:00,Anchor,2748,25,2022-09-24 13:40:00,2023-01-21 16:10:00
Lilibet,2023-01-21 14:50:00,Anchor,2935,83,2022-08-07 13:45:00,2023-01-21 14:50:00
Ursula,2023-01-21 13:44:00,Anchor,2649,88,2022-05-16 12:25:00,2023-01-21 13:44:00
Ariki,2023-01-20 15:56:00,Anchor,2509,62,2022-08-11 13:05:00,2023-01-20 15:56:00
Tuterakipaua,2023-01-19 16:05:00,Anchor,2760,3,2022-05-19 13:30:00,2023-01-19 16:05:00
