"actualFreshWeight","alive","birdid","bodyPart","description","featureid","birdName","clutch","clutchOrder","dateFirstFound","dateLaid","datesMated","daysOnNest","definiteFather","eggMeasurements.dryShellWeightUnhatched","eggMeasurements.eggLength","eggMeasurements.eggWidth","eggMeasurements.fwCoefficientX104","eggMeasurements.shellThicknessInMms","eggMeasurements.calculatedFreshWeight","eggMeasurements.eggWeightBeforeFillingWithWater","eggMeasurements.shellWasteWeightHatched","eggMeasurements.weightWithWaterInGrams","eggMeasurements.dryShellWeightHatched","eggMeasurements.addled","eggMeasurements.germinalDiscDiameterInMms","estAgeWhen1stFound","father","firstDayAtOrVeryCloseToNest","fledged","historicDataFirstEggWeight","houseID","id","lastDateMated","layIsland","layYear","matedWith","matingToLaying","matingToNestingDays","modifiedTime","mother","nestingToLaying","results","viable","currentIsland","currentLocationID","eggName","comments","currentChipId","currentTxRecordId","demise","discoveryDate","lastTxChangeId","legColour","plumageColour","sex","studbookno","dateFledged","dateHatched","dateWeaned","incubationPeriod","interClutchLayingInterval","nestMother","transmitterGroup","layDateIsEstimate","embryoMeasurements.lengthInSitu","embryoMeasurements.estimatedAgeAtDeathInDays","embryoMeasurements.headLengthInMms","embryoMeasurements.totalLengthInMms","embryoMeasurements.yolkSacMembraneDiameterInMms","layLocationID","deadEmbryo","gan","dateIndependent","modifiedByRecordId","currentBandId","ageClassOverride","currentBandLeg","ageClass"
40.330,FALSE,NA,NA,NA,NA,"Suzanne1.2a.99","A", 1,1999-01-17 19:30:00,1999-01-14 00:00:00,"5-6/1/99","3",FALSE,    3.561000,   51.700000,   37.800000,    5.460000,    0.350000,NA,NA,NA,NA,NA,NA,NA, 3.00,"80156a3a-1ab1-4dad-a8d1-57035ea7c2ea","14/01/1999",FALSE,40.000,"KP99001","000d268c-5a29-4ea9-94aa-2827bfc27c9c","6/01/1999","Pearl",1999,"Ralph", 8, 8,2018-11-07 09:26:13,"68e08799-f6c3-4e01-bec1-9f5afbf00d0e", 0,"""nest found 16/1/99 10:10, 1 egg only, collected for art. Incubation on 17/1. Dissected on 25/1, germ cell 2.5mm white with jagged holes, aircell 22 x 23.2 filled with saline for FW""","infert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egg"
NA,FALSE,NA,NA,NA,NA,"Kuia-2-A-19","A", 2,NA,2019-01-12 13:30:00,NA,NA,NA,NA,   51.200000,   38.680000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0d583a67-d84e-4a84-86bc-fd517abf3ef1",NA,NA,NA,"KA19022","012a53c0-daf9-4ae9-827d-bae3218a1675",NA,"Anchor",NA,NA,NA,NA,2021-06-21 10:28:48,"8609d1a9-b175-4fd9-a7b0-c371fb84a981",NA,NA,"infert","Anchor","16bf7edf-e2d9-4bdc-af69-800550f11403","Kuia-2-A-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egg"
NA,FALSE,"35706Sandra","hock joint, right","thickened & fused ~100 degrees (prior to 14/11/99)","16","Sandra",NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"KS92003","01622a6e-89ed-43d0-873b-ee6e86c9eec4",NA,"Stewart",NA,NA,NA,NA,2018-11-07 09:26:10,NA,NA,NA,NA,"Anchor",NA,NA,"toe right inner back - white claw pink dorsal skin, toe right inner front - white claw, pink dorsal surface of last joint, toe right outer front - claw white, deformed, tightly curvered, claw knuckle pink. Died 16/1/12; got hung in a Dracophyllum (4m up) by her backpack transmitter harness.","009100552700","755fb419-ddda-4fe6-a2a5-eedc62ce5312",2012-01-16 00:00:00,1992-05-16 00:00:00,"13/09/2012 11:16:53 a.m.","Pale grey","Olive","Female", 98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adult"
NA,TRUE,NA,NA,NA,NA,"George","A", 3,2009-02-13 20:40:00,2009-02-12 00:00:00,"25 & 29/01/09","14",TRUE,NA,   50.200000,   38.300000,NA,NA,NA,NA,NA,NA,NA,NA,NA, 1.00,"b00c56aa-7164-4ce7-9017-477fe324f6ec","30/01/09",TRUE,NA,"KW09032","02bc70b2-16ba-48de-be5e-ece789173fd2","29/01/09","Whenua Hou",2009,"Blades + Basil",14, 1,2021-03-26 10:12:15,"7f58100c-4c48-471a-bc40-c051b7111e0e",13,"Hatched by Jean, then hand-reared","fert","Anchor",NA,NA,"Sue’s second chick (3rd egg) hatched and raised by Jean for 12 days before hand-rearing, due to poor weight gain.  Referred to as Su3 and Stewart (after the island) during hand-rearing, until January 2010. Named by the Whenua Hou Committee in honor of George Ryan, a past member who died the year prior.","009104925878","095e2dce-58b3-47a0-93af-32927719ff84",NA,NA,"1/10/2018 11:40:35 a.m.","Dark grey","Olive","Male",159,2009-08-06 00:00:00,2009-03-13 01:30:00,2009-07-30 00:00:00,29.00,3.000000,"95f9d3f8-4b78-43f1-86be-66237e36cffc","East",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adult"
NA,FALSE,NA,NA,NA,NA,"JEM-2-B-19","B", 2,NA,2019-03-01 15:00:00,NA,NA,NA,NA,   50.910000,   37.590000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0aeaa73e-9cbb-4223-83b3-5a84753d165c",NA,NA,NA,"KA19109","02c96fe4-f0b8-42ed-8045-bc8837f4d3e7",NA,"Anchor",NA,NA,NA,NA,2021-06-21 10:04:59,"b78a1c8e-c064-410f-858b-d03e143e7393",NA,NA,"infert","Anchor","16bf7edf-e2d9-4bdc-af69-800550f11403","JEM-2-B-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b78a1c8e-c064-410f-858b-d03e143e7393",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Egg"
NA,FALSE,NA,NA,NA,NA,"Dusky-A3-2022","A", 3,NA,2022-02-08 15:40:00,NA,NA,NA,NA,   49.210000,   37.050000,NA,NA,   36.740000,NA,NA,NA,NA,NA,NA,NA,"7872f8e4-1a15-49e4-872a-35276e87bc53",NA,NA,NA,"KK22006","02d07599-727f-44d7-b819-b95a940134b7",NA,"Te Kakahu",2022,NA,NA,NA,2022-06-23 14:02:02,"903590e0-995d-4163-9f04-2c6c581559fc",NA,NA,"infert","Te Kakahu","ae5aa379-8680-4162-9af1-9c448eadcbfd","Dusky-A3-2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"903590e0-995d-4163-9f04-2c6c581559fc",NA,TRUE,NA,NA,NA,NA,NA,"b9bb3579-ddc5-4758-8955-2a5bda0ecc4e",NA,NA,NA,NA,NA,NA,NA,"Egg"
NA,FALSE,NA,NA,NA,NA,"Sue1.2.85","A", 1,1985-03-18 00:00:00,1985-02-08 00:00:00,NA,NA,FALSE,NA,   48.500000,   38.400000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,"KS85006","02fa7dc4-741e-47b4-b681-026ce4321694",NA,"Stewart",1985,NA,NA,NA,2018-11-07 09:26:12,"7f58100c-4c48-471a-bc40-c051b7111e0e",NA,"ede","fert",NA,NA,NA,NA,NA,NA,1985-02-16 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ede~8",NA,NA,NA,NA,NA,NA,"Egg"
NA,FALSE,NA,NA,NA,NA,"Juanma","A", 2,2009-02-20 06:00:00,2009-02-18 00:00:00,"7/02/09","5",TRUE,NA,   48.450000,   37.100000,NA,NA,   36.270000,NA,NA,NA,NA,NA,NA, 2.00,"41316baa-29be-4eec-80ee-7a77d45e54c8","15/02/09",TRUE,NA,"KW09044","036e2f2c-8174-452b-8d92-2cd8c258c154","7/02/09","Whenua Hou",2009,"Felix +(AI Stumpy)",11, 8,2022-09-07 14:45:52,"c4bea551-e865-4ff5-b093-43fb0955fff4", 3,"Hatched and reared by Wendy then hand-reared","fert","Whenua Hou",NA,NA,"Pearl’s 2nd chick of 3 eggs, from her first ever nest.  Hatched and raised by Wendy for 21 days, then hand-reared due to respiratory problems.  Referred to as Pearl 2 and Slingo during hand-rearing and on Codfish until June 2010. Father by Stumpy following artificial insemination; one of the first three birds (and only male) resulting from artificial insemination in 2009. Named after Juan Blanco, who developed artificial insemination for kakapo. Died 3/4/22 died on Whenua Hou following booming of an unknown septicaemia (not erysipelas)","009104919770","d5fd5a90-adfb-4a0e-917c-e591ac9a0371",2022-04-03 00:00:00,NA,"4/07/2018 8:31:46 p.m.","Dark grey","Green","Male",168,2009-07-18 00:00:00,2009-03-20 12:20:00,2009-07-12 00:00:00,30.00,3.000000,"95f9d3f8-4b78-43f1-86be-66237e36cffc","Loop",NA,NA,NA,NA,NA,NA,NA,NA,"KRS15-10893",NA,NA,NA,NA,NA,"Adult"
NA,TRUE,NA,NA,NA,NA,"Waikawa","A", 2,2011-02-24 06:00:00,2011-02-23 08:00:00,"3 & 4/2/11","8",TRUE,NA,   48.050000,   39.800000,    5.437000,NA,NA,NA,NA,NA,NA,NA,NA, 0.00,"841d32dd-7998-4bfe-b8a8-9abc34644b83","15/2/11",TRUE,40.850,"KW11018","03baa942-3a51-4914-a58b-ee0d017af7b5","4/2/11","Whenua Hou",2011,"Jimmy + Blades",19,11,2018-11-07 09:26:07,"5faa4e7d-778e-45d4-a4b1-bd7565766907", 8,"Egg to incubator at 2 days, due to petrel disturbance. Female chick hatched in incubator & raised by Flossie","fert","Anchor",NA,NA,"Aranga's 2nd egg of 2 egg clutch (first = EDE) hatched in incubator in Codfish portacom. Hand-reared for 18 days,  then raised by Flossie. Named by Awarua runanga by Gail Thompson and Arron.","009106504004","8870b0aa-4238-4630-8ed6-40faf4d96e64",NA,NA,"29/08/2018 12:28:55 p.m.",NA,"Olive","Female",199,2011-06-07 00:00:00,2011-03-24 00:40:00,NA,28.20,3.000000,"535b70ab-3154-4c97-98c6-a64793c22cdc","West",NA,NA,NA,NA,NA,NA,NA,NA,"KRS15-10780",2011-10-19 00:00:00,NA,NA,NA,NA,"Adult"
NA,TRUE,NA,NA,NA,NA,"Jamieson","A", 2,NA,2016-02-08 00:00:00,NA,NA,TRUE,NA,   52.260000,   39.610000,NA,NA,   44.600000,NA,NA,NA,NA,NA,NA,NA,"5fa7101a-486e-4d3a-8053-4569a1868624",NA,TRUE,NA,"KW16013","04a6fc7c-709c-470d-833b-061a1e4debf8",NA,"Whenua Hou",2016,NA,NA,NA,2022-08-13 17:29:15,"0d63c3d5-1ce0-48c2-8519-57378b33e327",NA,NA,"fert","Anchor",NA,NA,"Wendy's second egg of 4 in 2016. Hatched in an incubator on Whenua Hou then transferred (along with Kura) to Anchor Island on 9/3/16 where he was raised by various foster mothers: Waikawa 4-8d, Yasmine 8-13d, Jem15-22d and Toitiiti 24-56 d. He was removed from Toitiiti's nest with a sinus infection in May 2016. Chick name was Wendy 2-4-16 (W2) and Wendyl until September 2016. Named Jamieson by the Kakapo Recovery team in recognition of Dr Ian Jamieson; long standing Kakapo Recovery Group member (2007 to 2014) and ecological scientist (with a close interest in conservation genetics) from Otago University.","000190717487","67894758-28c3-4cc8-b925-2a4b2fb961af",NA,NA,"9/10/2018 4:50:26 p.m.","Medium grey","Olive","Male",254,2016-07-07 00:00:00,2016-03-07 22:50:00,2019-06-29 00:00:00,NA,NA,"95f9d3f8-4b78-43f1-86be-66237e36cffc","",NA,NA,NA,NA,NA,NA,NA,NA,"KRS16-11329-IA",2019-08-24 00:00:00,"5045ffac-ba91-4179-825d-ac86da8dd381",NA,NA,NA,"Adult"
